Time,Parking,SLAC-1,SLAC-2,VA-1,VA-2,
0.415,-0.4868,-1.1400,-1.6600,0.8660,0.6360,,,
0.420,-0.4976,-0.8260,-1.1000,0.0656,1.8800,,,
0.425,-0.5113,-0.7480,0.4620,0.3830,2.2200,,,
0.430,-0.5182,-1.1700,1.3900,0.9790,3.4100,,,
0.435,-0.5113,-0.4800,1.6100,0.8030,4.5600,,,
0.440,-0.4976,-0.4350,3.2600,0.7850,4.5100,,,
0.445,-0.4897,-0.9010,4.3700,1.4300,3.6500,,,
0.450,-0.4809,0.2780,3.8000,1.9300,4.0600,,,
0.455,-0.4632,1.4700,3.4400,1.4800,4.9100,,,
0.460,-0.4436,0.6100,4.0500,1.1300,3.7900,,,
0.465,-0.4289,0.9270,3.4800,1.2100,3.3700,,,
0.470,-0.4152,0.6350,2.8200,1.1600,3.9200,,,
0.475,-0.4034,-0.6940,2.8000,1.0500,3.2900,,,
0.480,-0.3906,0.0592,2.5500,0.9280,2.5600,,,
0.485,-0.3661,-1.0900,2.2800,1.4500,2.4000,,,
0.490,-0.3357,-3.5700,2.2300,1.6600,2.0900,,,
0.495,-0.3101,-3.1900,2.3300,1.2500,1.3500,,,
0.500,-0.2817,-2.4700,2.0200,1.5500,0.2290,,,
0.505,-0.2444,-3.4800,2.5700,1.5700,-0.2560,,,
0.510,-0.2071,-3.1800,3.4800,1.3700,-1.2400,,,
0.515,-0.1776,-2.7800,3.3600,0.9510,-2.2700,,,
0.520,-0.1531,-1.7700,3.0000,0.6770,-1.9600,,,
0.525,-0.1345,0.2690,3.9400,0.7090,-2.8500,,,
0.530,-0.1227,0.9580,5.3200,0.1940,-2.6100,,,
0.535,-0.1178,2.1300,4.5200,-0.6670,-2.2300,,,
0.540,-0.1158,2.7200,3.9800,-1.3100,-2.9500,,,
0.545,-0.1138,3.1100,3.4100,-1.0400,-2.3200,,,
0.550,-0.1138,4.1200,2.0000,-0.5500,-2.1900,,,
0.555,-0.1217,3.0600,2.4800,-0.4290,-3.0000,,,
0.560,-0.1335,1.6600,2.3500,-0.2890,-2.6800,,,
0.565,-0.1443,1.7900,0.4730,-0.3980,-0.6000,,,
0.570,-0.1541,0.7560,0.1220,-0.6450,0.0734,,,
0.575,-0.1561,-2.1100,0.3870,-0.6350,0.6060,,,
0.580,-0.1531,-3.3600,-2.2500,-0.6470,1.6800,,,
0.585,-0.1482,-4.7000,-4.3500,0.1010,0.9030,,,
